movie,link,money
Two Lovers,/title/tt1103275/?ref_=bo_se_r_1,"
$16,303,643
"
Heart of a Dog,/title/tt4935446/?ref_=bo_se_r_1,"
$495,865
"
The Lives of Others,/title/tt0405094/?ref_=bo_se_r_1,"
$77,356,942
"
Werckmeister Harmonies,/title/tt0249241/?ref_=bo_se_r_1,"
$69,923
"
White Material,/title/tt1135952/?ref_=bo_se_r_1,"
$1,392,434
"
Stranger by the Lake,/title/tt2852458/?ref_=bo_se_r_1,"
$1,156,137
"
Colossal Youth,/title/tt0460480/?ref_=bo_se_r_1,"
$12,801
"
Story of My Death,/title/tt3102458/?ref_=bo_se_r_1,"
$77
"
Aurora,/title/tt0018455/?ref_=bo_se_r_1,"
$121,107
"
The Turin Horse,/title/tt1316540/?ref_=bo_se_r_1,"
$162,088
"
Shutter Island,/title/tt1130884/?ref_=bo_se_r_1,"
$294,805,697
"
Saraband,/title/tt0299478/?ref_=bo_se_r_1,"
$975,181
"
The Return,/title/tt0441909/?ref_=bo_se_r_1,"
$85,600,653
"
Import Export,/title/tt0459102/?ref_=bo_se_r_1,"
$563,513
"
The Revenant,/title/tt1663202/?ref_=bo_se_r_1,"
$532,950,503
"
A Commuter’s Life,/title/tt0038650/?ref_=bo_se_r_1,"
$8,574,081
"
The Fourth Watch,/title/tt1298649/?ref_=bo_se_r_1,"
$68,267,862
"
Our Daily Bread,/title/tt0765849/?ref_=bo_se_r_1,"
$71,810
"
Ankhon Dekhi,/title/tt3614516/?ref_=bo_se_r_1,"
$151,226
"
Court,/title/tt3717068/?ref_=bo_se_r_1,"
$57,416
"
"LSD: Love, Sex Aur Dhokha",/title/tt0944184/?ref_=bo_se_r_1,"
$271,814
"
Dev D,/title/tt0238936/?ref_=bo_se_r_1,"
$5,428,774
"
Paan Singh Tomar,/title/tt1620933/?ref_=bo_se_r_1,"
$40,311
"
Udaan,/title/tt1639426/?ref_=bo_se_r_1,"
$434,862
"
Lagaan: Once Upon a Time in India,/title/tt0169102/?ref_=bo_se_r_1,"
$1,724,806
"
AI: Artificial Intelligence,/title/tt0212720/?ref_=bo_se_r_1,"
$235,926,552
"
The Lady and the Duke,/title/tt0239234/?ref_=bo_se_r_1,"
$1,128,137
"
Silent Souls,/title/tt1693830/?ref_=bo_se_r_1,"
$563,554
"
Me and You and Everyone We Know,/title/tt0415978/?ref_=bo_se_r_1,"
$8,012,838
"
Gone Girl,/title/tt2267998/?ref_=bo_se_r_1,"
$369,330,363
"
Pain & Gain,/title/tt1980209/?ref_=bo_se_r_1,"
$87,305,549
"
Before Midnight,/title/tt2209418/?ref_=bo_se_r_1,"
$20,851,106
"
Fruitvale Station,/title/tt2334649/?ref_=bo_se_r_1,"
$17,385,830
"
Brick,/title/tt1623205/?ref_=bo_se_r_1,"
$493,311,825
"
Stray Dogs,/title/tt3119416/?ref_=bo_se_r_1,"
$13,573
"
Ten,/title/tt23289160/?ref_=bo_se_r_1,"
$57,330,980
"
Closed Curtain,/title/tt2626926/?ref_=bo_se_r_1,"
$33,735
"
Tangerine,/title/tt3824458/?ref_=bo_se_r_1,"
$840,099
"
Notre musique,/title/tt0360845/?ref_=bo_se_r_1,"
$293,681
"
Triple Agent,/title/tt0374294/?ref_=bo_se_r_1,"
$256,205
"
Gran Torino,/title/tt1205489/?ref_=bo_se_r_1,"
$269,958,228
"
Horse Money,/title/tt3907156/?ref_=bo_se_r_1,"
$8,255
"
Death Proof – Grindhouse,/title/tt1028528/?ref_=bo_se_r_1,"
$31,126,421
"
Déjà Vu,/title/tt0119033/?ref_=bo_se_r_1,"
$1,086,181
"
Dreams of a Life,/title/tt1819513/?ref_=bo_se_r_1,"
$291,898
"
The Gleaners and I,/title/tt0247380/?ref_=bo_se_r_1,"
$159,165
"
